Monthly mean Maxs,,,,,,Monthly mean Mins,,,,
month,Adelaide,Archerfield,Bankstown,Melbourne,,month,Adelaide,Archerfield,Bankstown,Melbourne
January,31.08,30.81,28.99,26.88,,January,17.58,20.76,18.54,16.48
February,28.57,30.3,28.22,25.97,,February,17.13,20.49,18.34,16.09
March,26.43,29.32,26.54,24.5,,March,15.53,18.8,16.4,14.84
April,23.97,27.12,23.98,20.9,,April,13.81,15.39,12.75,12.1
May,18.51,24.33,20.8,17.69,,May,10.56,11.98,9.28,10.18
June,16.14,21.75,18.0,14.8,,June,7.46,9.65,6.93,7.65
July,15.98,21.66,17.62,14.55,,July,8.4,8.05,5.42,7.67
August,16.08,23.21,19.32,15.12,,August,8.5,8.34,6.05,7.84
September,19.31,25.92,22.21,17.85,,September,9.83,11.71,8.95,9.47
October,23.28,27.36,24.41,20.86,,October,12.15,14.8,11.99,11.03
November,25.89,28.79,25.84,22.65,,November,14.22,17.51,14.68,12.75
December,28.49,29.81,27.6,24.84,,December,15.82,19.33,16.85,14.58
Record period:,1991-2020,,,,,Record period:,1991-2020,,,
